estudo,ano,evtto,ntto,evcont,ncont,idade
ADCS 1997,1997,19,170,22,171,Maior que 60
MIN.VIT.AOX 1999,1999,100,361,106,364,Maior que 60
PPS 1994,1994,15,433,29,431,Maior que 60
REACT 2002,2002,9,149,3,148,Maior que 60
VECAT 2004,2004,20,595,11,598,Maior que 60
MRC BHF HPS 2002,2002,1446,10269,1389,10267,menor que 60
Liinxian B 1993,1993,157,1657,167,1661,menor que 60
CHAOS 1996,1996,68,1035,52,967,Maior que 60
SPACE 2000,2000,31,97,29,99,Maior que 60
WAVE 2002,2002,16,212,6,211,Maior que 60
Linqu 2001,2001,38,1706,43,1705,menor que 60
GISSI 1999,1999,488,5666,529,5668,menor que 60
PPP 2001,2001,72,2231,68,2264,Maior que 60
Linxian A 1993,1993,1018,14792,1109,14792,menor que 60
HOPE 2000,2000,535,4761,537,4780,Maior que 60
ATBC 1994,1994,1800,14564,1770,14569,menor que 60
AREDS 2001,2001,251,2370,240,2387,Maior que 60
SU.VI.MAX 2004,2004,76,6481,98,6536,menor que 60
DATATOP 1998,1998,73,399,64,401,Maior que 60
